DirectorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
26,Asuka,Mori,Female,1945-02-16,Japan,15,Received various awards and was praised by critics. An experienced artist who films in challenging locations. Has a wide filmography including works in different genres. Made a name at international festivals with prestigious awards.
27,Charlotte,Jones,Female,1961-02-06,United Kingdom,18,A unique director blending classical and modern cinema. Work has inspired many young filmmakers. Received various awards and was praised by critics. Has a wide filmography including works in different genres.
28,Kavita,Kumar,Female,1968-05-19,India,10,Regarded as a significant figure in the world of art and culture. Explores cultural diversity and human stories. Known for innovative and bold contributions in the art world. Also successful in voice acting and dubbing.
29,Marco,Rossi,Male,1968-05-13,Italy,14,Has a wide filmography including works in different genres. Participated in socially conscious projects. Recognized for a creative directing style and attention to detail.
30,Jian,Liu,Male,1971-04-24,China,11,Made a name at international festivals with prestigious awards. Directs each film with great precision. Participated in socially conscious projects. Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life.
31,Lucia,Sanchez,Other,1940-09-13,Spain,3,Regarded as a significant figure in the world of art and culture. Started their career at a young age and achieved many successful projects. Known for being a versatile artist. Participated in socially conscious projects.
32,Mert,Kaya,Male,1958-11-23,Turkey,20,An experienced artist who films in challenging locations. Captivates the audience with natural acting and stage presence. Regarded as a significant figure in the world of art and culture. Received various awards and was praised by critics. Has a wide filmography including works in different genres.
33,Luca,Rossi,Male,1964-10-27,Italy,10,Praised for emotionally intense performances. Regarded as a significant figure in the world of art and culture. Made a name at international festivals with prestigious awards. Known for being a versatile artist.
34,Yu-Jin,Kim,Female,1978-05-15,South Korea,3,Successfully transitioned between cinema and theater. Known for innovative and bold contributions in the art world. Participated in socially conscious projects.
35,Rina,Tanaka,Female,1953-04-14,Japan,1,A pioneer in the use of innovative techniques in the film industry. Received various awards and was praised by critics. Recognized for a creative directing style and attention to detail. Also successful in voice acting and dubbing. Proved mastery in both drama and comedy genres.
36,Antonio,Ferrari,Male,1976-06-16,Italy,7,Made a name at international festivals with prestigious awards. Known for deep character analysis. Participated in major projects in the film industry for many years. Known for being a versatile artist.
37,Linda,Jones,Female,1976-12-08,USA,5,Explores cultural diversity and human stories. Received various awards and was praised by critics. Captivates the audience with natural acting and stage presence.
38,Arthur,Robert,Male,1981-04-18,France,7,Participated in major projects in the film industry for many years. Also successful in voice acting and dubbing. Recognized for a creative directing style and attention to detail. Explores cultural diversity and human stories.
39,David,Miller,Male,1946-03-24,USA,20,Also successful in voice acting and dubbing. Participated in socially conscious projects. Respected in the industry and inspired many young talents. Participated in major projects in the film industry for many years. Started their career at a young age and achieved many successful projects. Regarded as a significant figure in the world of art and culture.
40,Elif,Demir,Female,1963-10-25,Turkey,19,A pioneer in the use of innovative techniques in the film industry. Known for being a versatile artist. Respected in the industry and inspired many young talents. Known for deep character analysis. Work has inspired many young filmmakers. An experienced artist who films in challenging locations.
41,Thomas,Smith,Male,1957-01-19,United Kingdom,13,An experienced artist who films in challenging locations. Participated in socially conscious projects. Also successful in voice acting and dubbing.
42,Guadalupe,Sánchez,Other,1957-09-04,Mexico,2,Work has inspired many young filmmakers. Respected in the industry and inspired many young talents. Also successful in voice acting and dubbing. Started their career at a young age and achieved many successful projects. Known for being a versatile artist.
43,Lea,Wagner,Female,1976-08-21,Germany,9,Recognized for a creative directing style and attention to detail. Known for deep character analysis. Also successful in voice acting and dubbing. Explores cultural diversity and human stories.
44,Federica,Greco,Female,1955-08-12,Italy,9,Participated in socially conscious projects. Participated in major projects in the film industry for many years. Delivered strong performances in many different roles throughout life. Successfully transitioned between cinema and theater. Recognized for a creative directing style and attention to detail. Known for deep character analysis.
45,Lucia,Diaz,Female,1968-11-28,Spain,14,An experienced artist who films in challenging locations. Captivates the audience with natural acting and stage presence. Known for being a versatile artist. Made a name at international festivals with prestigious awards.
46,Marco,Esposito,Male,1970-01-26,Italy,9,Recognized for a creative directing style and attention to detail. Known for innovative and bold contributions in the art world. Participated in major projects in the film industry for many years. Received various awards and was praised by critics.
47,Léna,Durand,Other,1946-07-14,France,20,Successfully transitioned between cinema and theater. Explores cultural diversity and human stories. Captivates the audience with natural acting and stage presence. Proved mastery in both drama and comedy genres.
48,Aylin,Aydın,Female,1940-06-30,Turkey,7,Successfully transitioned between cinema and theater. An experienced artist who films in challenging locations. Directs each film with great precision. Received various awards and was praised by critics.
49,Jun,Zhang,Male,1950-11-20,China,14,Pays special attention to film music and collaborates often. Directs each film with great precision. Work has inspired many young filmmakers. Known for being a versatile artist. An experienced artist who films in challenging locations.
50,Neha,Reddy,Female,1980-01-02,India,14,Pays special attention to film music and collaborates often. Proved mastery in both drama and comedy genres. Praised for emotionally intense performances. Regarded as a significant figure in the world of art and culture. An experienced artist who films in challenging locations.
51,Na-Ra,Lee,Female,1964-08-20,South Korea,9,Regarded as a significant figure in the world of art and culture. Respected in the industry and inspired many young talents. Participated in socially conscious projects. Has a wide filmography including works in different genres.
52,Emre,Kaya,Male,1974-05-13,Turkey,2,Known for deep character analysis. Respected in the industry and inspired many young talents. Participated in socially conscious projects. Directs each film with great precision. Pays special attention to film music and collaborates often. Received various awards and was praised by critics.
53,Sarah,Martin,Female,1974-12-10,France,18,Captivates the audience with natural acting and stage presence. Participated in major projects in the film industry for many years. A pioneer in the use of innovative techniques in the film industry. Delivered strong performances in many different roles throughout life. Explores cultural diversity and human stories. Known for deep character analysis.
54,Jing,Liu,Female,1959-10-14,China,8,Captivates the audience with natural acting and stage presence. Participated in major projects in the film industry for many years. Explores cultural diversity and human stories. Respected in the industry and inspired many young talents. Successfully transitioned between cinema and theater. Made a name at international festivals with prestigious awards.
55,Hye-Jin,Shin,Other,1942-06-02,South Korea,18,Has a wide filmography including works in different genres. Praised for emotionally intense performances. Known for deep character analysis.
56,Elif,Çelik,Female,1956-04-20,Turkey,12,Recognized for a creative directing style and attention to detail. Directs each film with great precision. Respected in the industry and inspired many young talents. Pays special attention to film music and collaborates often. Explores cultural diversity and human stories.
57,Anna,Schmidt,Female,1977-10-26,Germany,15,Known for being a versatile artist. Participated in socially conscious projects. Received various awards and was praised by critics.
58,Michael,Smith,Male,1946-02-26,USA,7,Participated in major projects in the film industry for many years. Work has inspired many young filmmakers. Known for innovative and bold contributions in the art world. Proved mastery in both drama and comedy genres.
59,Melis,Kaya,Female,1950-04-06,Turkey,14,Pays special attention to film music and collaborates often. A pioneer in the use of innovative techniques in the film industry. Made a name at international festivals with prestigious awards. Work has inspired many young filmmakers. Known for being a versatile artist.
60,Miguel,García,Male,1954-09-10,Mexico,18,Delivered strong performances in many different roles throughout life. A unique director blending classical and modern cinema. Also successful in voice acting and dubbing.
61,Ravi,Das,Male,1957-10-16,India,20,Started their career at a young age and achieved many successful projects. Successfully transitioned between cinema and theater. Pays special attention to film music and collaborates often. Delivered strong performances in many different roles throughout life.
62,Federica,Rossi,Female,1950-11-10,Italy,11,Also successful in voice acting and dubbing. A pioneer in the use of innovative techniques in the film industry. Has a wide filmography including works in different genres. An experienced artist who films in challenging locations. Praised for emotionally intense performances. Respected in the industry and inspired many young talents.
63,Sakura,Ito,Female,1983-12-23,Japan,11,Successfully transitioned between cinema and theater. Known for innovative and bold contributions in the art world. Known for deep character analysis. Made a name at international festivals with prestigious awards. An experienced artist who films in challenging locations. Regarded as a significant figure in the world of art and culture.
64,Lucia,Gomez,Female,1983-05-18,Spain,18,Respected in the industry and inspired many young talents. Proved mastery in both drama and comedy genres. Has a wide filmography including works in different genres. Regarded as a significant figure in the world of art and culture. Directs each film with great precision.
65,Jade,Martin,Female,1973-12-31,France,15,Made a name at international festivals with prestigious awards. Captivates the audience with natural acting and stage presence. Recognized for a creative directing style and attention to detail. A pioneer in the use of innovative techniques in the film industry. Regarded as a significant figure in the world of art and culture.
66,Thomas,Smith,Male,1964-10-13,USA,16,Has a wide filmography including works in different genres. Proved mastery in both drama and comedy genres. Known for being a versatile artist. Known for deep character analysis.
67,Na-Ra,Yoon,Female,1961-07-23,South Korea,14,Has a wide filmography including works in different genres. Delivered strong performances in many different roles throughout life. Proved mastery in both drama and comedy genres.
68,Maya,Mehta,Female,1967-06-21,India,15,Known for deep character analysis. Known for being a versatile artist. Participated in socially conscious projects. Respected in the industry and inspired many young talents. A pioneer in the use of innovative techniques in the film industry.
69,Carmen,López,Female,1967-07-05,Mexico,3,Respected in the industry and inspired many young talents. Started their career at a young age and achieved many successful projects. Known for being a versatile artist. Participated in socially conscious projects.
70,Alejandro,González,Male,1959-05-31,Mexico,18,Started their career at a young age and achieved many successful projects. Recognized for a creative directing style and attention to detail. Delivered strong performances in many different roles throughout life. Proved mastery in both drama and comedy genres. A pioneer in the use of innovative techniques in the film industry.
71,Burak,Yılmaz,Male,1951-05-10,Turkey,1,Successfully transitioned between cinema and theater. Known for innovative and bold contributions in the art world. Praised for emotionally intense performances. Pays special attention to film music and collaborates often. Captivates the audience with natural acting and stage presence.
72,Mia,Thomas,Female,1965-07-05,United Kingdom,14,Made a name at international festivals with prestigious awards. Received various awards and was praised by critics. Regarded as a significant figure in the world of art and culture. Captivates the audience with natural acting and stage presence. Started their career at a young age and achieved many successful projects.
73,David,Smith,Male,1946-08-24,United Kingdom,4,A unique director blending classical and modern cinema. Delivered strong performances in many different roles throughout life. Has a wide filmography including works in different genres. Proved mastery in both drama and comedy genres.
74,Lucy,Johnson,Female,1977-05-03,United Kingdom,19,Pays special attention to film music and collaborates often. An experienced artist who films in challenging locations. Explores cultural diversity and human stories. Directs each film with great precision.
75,Soo,Shin,Male,1978-06-21,South Korea,19,Work has inspired many young filmmakers. Known for being a versatile artist. Started their career at a young age and achieved many successful projects.
76,Louise,Thomas,Female,1963-09-28,France,7,Participated in socially conscious projects. Has a wide filmography including works in different genres. Made a name at international festivals with prestigious awards. Participated in major projects in the film industry for many years.
77,Kavita,Sharma,Female,1982-02-27,India,7,Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life. Directs each film with great precision. Has a wide filmography including works in different genres. Also successful in voice acting and dubbing.
78,Manon,Bernard,Other,1957-09-30,France,17,Praised for emotionally intense performances. Known for innovative and bold contributions in the art world. Regarded as a significant figure in the world of art and culture. Has a wide filmography including works in different genres.
79,Kazuya,Mori,Male,1967-08-06,Japan,9,Started their career at a young age and achieved many successful projects. Directs each film with great precision. Successfully transitioned between cinema and theater. Delivered strong performances in many different roles throughout life. Explores cultural diversity and human stories. Regarded as a significant figure in the world of art and culture.
80,Mei,Zhou,Female,1979-04-10,China,1,Known for being a versatile artist. Respected in the industry and inspired many young talents. Work has inspired many young filmmakers. Regarded as a significant figure in the world of art and culture. Participated in major projects in the film industry for many years. Has a wide filmography including works in different genres.
